title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
SSIS-575,사진 대조 1차 교정본,1673,"02:36:11,230 --> 02:36:11,570",0.34,오늘은 뒤에서 하는 모습을 보고 싶으니까.,좋은 아침.,그 자세로 해 보자.,중립·혼합형,sub_1673_9371.2s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.8858,0.0,66.0,100.0,0.0,0.2605,빨아 주고 싶으니까 해 볼게요.,"응, 계속해.",손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,62.26,T2,후보 3개 생성 후 증거 기반 판정,high_cps;short_duration_long_text,100.0,78.11,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-575,사진 대조 1차 교정본,2218,"03:46:20,880 --> 03:46:25,160",4.28,좋은 말씀 감사합니다. 한 달 동안 수고하셨습니다. 감사합니다.,"친구처럼 가까워지다 보면 자연스럽게 이어질 수 있어요.
너무 고민하지 말고 연애도 많이 경험해 보세요.",,존댓말형,sub_2218_13580.9s.jpg,0.02,,,25.0,90.0,50.0,78.0,75.0,0.87861,32.28,66.0,0.0,18.0,0.719,감사합니다.,고마워요.,타임스탬프 사진과 앞뒤 장면으로 대사 기능 복원,59.21,T3,화자·문맥·자연스러움 집중 검토,formal_scene_mistranslation;formality_shift,99.95491433724075,76.32,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-575,사진 대조 1차 교정본,1441,"02:06:14,470 --> 02:07:03,020",48.55,뭐가?,점점 오고 있는 것 같아.,음…,중립·혼합형,sub_1441_7574.5s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.98306,0.0,66.0,25.0,0.0,0.1559,어디로 가?,여기?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,58.85,T3,화자·문맥·자연스러움 집중 검토,long_duration_short_text,99.90982867448152,76.1,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-575,사진 대조 1차 교정본,256,"00:07:55,550 --> 00:08:43,950",48.4,오늘은…,오늘 날씨가 좋네요.,아!,중립·혼합형,sub_0256_475.6s.jpg,0.05,,,25.0,90.0,50.0,78.0,75.0,0.9823,0.0,66.0,25.0,0.0,0.2304,그럼 오늘은 잘 먹었어.,그럼 오늘은 잘 먹었어요.,식사 후 인사말 자연화,58.82,T3,화자·문맥·자연스러움 집중 검토,long_duration_short_text,99.86474301172227,76.06,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-575,사진 대조 1차 교정본,142,"00:04:56,660 --> 00:04:56,680",0.02,하지만…,뭔가…,즐겁게 하고 싶고…,반말형,sub_0142_296.7s.jpg,0.04,,,25.0,90.0,50.0,78.0,75.0,0.67432,42.0,66.0,70.0,0.0,1.0,하지만…,그래도…,,57.94,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.81965734896303,75.53,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-575,사진 대조 1차 교정본,1674,"02:36:11,590 --> 02:36:11,730",0.14,그 자세로 해 보자.,오늘은 뒤에서 하는 모습을 보고 싶으니까.,다시 한번 자세를 잡아 줘.,반말형,sub_1674_9371.6s.jpg,0.01,,,25.0,90.0,50.0,78.0,75.0,0.80173,0.0,66.0,70.0,0.0,0.5112,한번 보자.,밖을 봐 보자.,일본어 원문 + 타임스탬프 사진 + 장면 연속성,55.73,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.77457168620379,74.23,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-575,사진 대조 1차 교정본,1463,"02:11:33,000 --> 02:11:33,020",0.02,코이치 씨.,열심히 할 수 있어요.,전혀 이상하지 않아요.,중립·혼합형,sub_1463_7893.0s.jpg,0.0,,,25.0,90.0,50.0,78.0,75.0,0.79678,0.0,66.0,70.0,0.0,0.0765,패치 있어.,괜찮아.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,55.52,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.72948602344455,74.09,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-575,사진 대조 1차 교정본,1807,"02:50:29,600 --> 02:50:30,240",0.64,그대로 움직이면서 서로의 반응을 맞춰 가자.,기분 좋아.,아직 괜찮아?!,중립·혼합형,sub_1807_10229.6s.jpg,0.0,,,25.0,90.0,50.0,78.0,79.0,0.79025,0.0,66.0,70.0,0.0,0.382,여러 곳을 움직이면서 할까?,손도 같이 움직여 볼까?,타임스탬프 사진과 장면 흐름으로 명백한 오인식 교정,55.49,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.6844003606853,74.05,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-575,사진 대조 1차 교정본,1096,"01:38:50,430 --> 01:38:59,130",8.7,저는 회사가 가까워서 이케부쿠로에 자주 가요. 퇴근길에 들르기도 하고.,주로 어느 동네에서요?,이케부쿠로는 사람이 많지 않아?,중립·혼합형,sub_1096_5930.4s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.9393,0.0,66.0,0.0,0.0,0.2537,가요.,갈 것 같아요.,성인 장면 관용 표현 교정,54.51,T3,화자·문맥·자연스러움 집중 검토,,99.61677186654644,73.45,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-575,사진 대조 1차 교정본,1233,"01:46:56,150 --> 01:47:02,170",6.02,그럼 키스할 때는 혀를 더 내밀어.,어떻게 하고 싶어?,혀요?,중립·혼합형,sub_1233_6416.1s.jpg,0.05,,,25.0,90.0,50.0,78.0,83.0,0.92788,0.0,66.0,0.0,0.0,0.3501,엉덩이를 더 내밀어...,엉덩이를 더 내밀어…,,54.51,T3,화자·문맥·자연스러움 집중 검토,,99.61677186654644,73.45,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
