capability_id,capability_name,claimed_status,verified_status,implementation_path,test_path,test_result,known_limitations,evidence_commit
C01,input-role-discovery,implemented,verified,src/translation_forensics/discovery.py,tests/unit/test_core.py::test_discovery_stops_on_multiple_candidates,pass,Does not establish semantic correctness,c7697ad
C02,structure-lock-and-srt-qa,implemented,verified,src/translation_forensics/srt.py;src/translation_forensics/validation.py,tests/unit/test_core.py::test_valid_pair_and_package_version_guard,pass,Does not validate Japanese meaning,c7697ad
C03,asr-family-independence,implemented,verified,src/translation_forensics/asr_evidence.py,tests/unit/test_core.py::test_asr_defaults_to_one_whisper_family_and_escalates_declared_slot_conflict,pass,ASR output remains candidate evidence only,47ecb30
C04,semantic-frame-and-hypothesis-validation,implemented,verified,src/translation_forensics/forensic_model.py,tests/unit/test_core.py::test_forensic_frames_escalate_critical_conflicts_and_do_not_double_count_family,pass,Reviewer-authored claims required,47ecb30
C05,translation-decision-strict-apply,implemented,verified,src/translation_forensics/semantic_translation.py,tests/unit/test_core.py::test_apply_translation_decisions_requires_semantic_fields,pass,Does not generate human semantic approval,c7697ad
C06,final-promotion-gate,implemented,verified,src/translation_forensics/outputs.py,tests/unit/test_core.py::test_final_package_requires_explicit_completion,pass,Requires actual human evidence not present,c7697ad
C07,timeline-range-gate,implemented,verified,src/translation_forensics/timeline.py,tests/unit/test_core.py::test_timeline_blocks_media_shorter_than_structure_and_does_not_claim_edit_identity,pass,No multi-anchor or approved offset map yet,uncommitted
C08,blind-review-contract,implemented,verified,src/translation_forensics/evaluation.py,tests/unit/test_core.py::test_completed_blind_review_is_required_for_evaluation_status,pass,No completed human review in workspace,uncommitted
C09,active-audit-sampling,implemented,verified,src/translation_forensics/audit_sampling.py,tests/unit/test_core.py::test_review_pack_audit_terminology_and_graph_are_reviewer_owned,pass,Metrics remain descriptive until human labels exist,uncommitted
C10,terminology-and-graph,partial,verified,src/translation_forensics/terminology.py;src/translation_forensics/evidence_graph.py,tests/unit/test_core.py::test_review_pack_audit_terminology_and_graph_are_reviewer_owned,pass,No translation-memory/error-memory contracts or full provenance report,uncommitted
