title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
SONE-785,사진 대조 1차 교정본,377,"01:46:29,080 --> 01:47:32,230",63.15,아아…,아아…,아아…,반응형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.98702,42.0,66.0,25.0,30.0,1.0,아아…,"와, 진짜 많이 커졌어.",일본어 원문 + 타임스탬프 사진 + 장면 연속성,68.97,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text;triple_identical_run,100.0,82.0,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SONE-785,사진 대조 1차 교정본,378,"01:47:32,230 --> 01:50:10,050",157.82,아아…,아아…,가면 알게 될 거야.,반응형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.994,42.0,66.0,25.0,0.0,1.0,아아…,"와, 진짜 많이 커졌어.",일본어 원문 + 타임스탬프 사진 + 장면 연속성,66.87,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.74489795918367,80.68,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SONE-785,사진 대조 1차 교정본,364,"01:16:25,250 --> 01:16:25,570",0.32,조금 더 안쪽까지 닿으면…,벌써 안쪽이 지친 것 같은데…,어떻게 될까?,반응형,,0.05,,,25.0,90.0,50.0,78.0,79.0,0.89374,0.0,66.0,70.0,0.0,0.4956,안쪽까지 안 가?,더 안쪽까지 안 들어가?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,59.84,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.48979591836735,76.49,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SONE-785,사진 대조 1차 교정본,343,"00:53:50,780 --> 00:55:00,930",70.15,안 돼요.,으윽.,왜 이래요…,중립·혼합형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.99514,0.0,66.0,25.0,0.0,0.6331,"아, 유두는 안 돼요.","아, 젖꼭지는 안 돼요.",,59.36,T3,화자·문맥·자연스러움 집중 검토,long_duration_short_text,99.23469387755102,76.11,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SONE-785,사진 대조 1차 교정본,229,"00:21:55,440 --> 00:21:56,060",0.62,자택에서 단독 카메라 취재까지 허락해 주셨는데요.,오늘 SS1 TV의 독점 취재에 응해 주셔서 감사합니다.,바쁘신 가운데 시간을 내 주셔서 감사합니다.,반말형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.85041,0.0,66.0,70.0,18.0,0.2703,카메라 보고 말해 봐.,카메라 보고 얘기해 봐.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,59.22,T3,화자·문맥·자연스러움 집중 검토,formality_shift;high_cps,98.9795918367347,75.92,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SONE-785,사진 대조 1차 교정본,340,"00:48:42,460 --> 00:48:42,520",0.06,"자, 이것 봐.",하아…,아…,중립·혼합형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.8376,0.0,66.0,70.0,0.0,0.27,"자, 아~.","자, 아…",,57.24,T3,화자·문맥·자연스러움 집중 검토,high_cps,98.72448979591837,74.66,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SONE-785,사진 대조 1차 교정본,69,"00:09:30,970 --> 00:09:30,990",0.02,고마워.,고마워.,인터뷰는 확정됐지만 밀착 취재는 아직이야.,중립·혼합형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.64762,42.0,66.0,70.0,0.0,1.0,고마워.,손으로 잡아 줘.,일본어 원문 + 타임스탬프 사진 + 장면 연속성,56.82,T3,화자·문맥·자연스러움 집중 검토,high_cps,98.46938775510205,74.31,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SONE-785,사진 대조 1차 교정본,38,"00:05:14,830 --> 00:05:14,910",0.08,열심히 하겠습니다.,힘내.,응.,존댓말형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.64161,42.0,66.0,70.0,0.0,1.0,열심히 하겠습니다.,힘내 볼게요.,,56.57,T3,화자·문맥·자연스러움 집중 검토,high_cps,98.21428571428571,74.06,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SONE-785,사진 대조 1차 교정본,67,"00:09:23,370 --> 00:09:28,230",4.86,역시 후와의 그 솔직한 미소가 이세 선수의 마음을 움직였나 봐.,그 이세 선수의 마음에 들어서 단숨에 스타 아나운서가 되겠네.,고마워.,중립·혼합형,,0.03,,,25.0,90.0,50.0,78.0,79.0,0.97079,0.0,66.0,0.0,0.0,0.1626,역시 움직여 줄게.,이제 움직여 줄게.,사진 장면 확인 및 한국어 번역투·ASR 오역 교정,56.07,T3,화자·문맥·자연스러움 집중 검토,,97.95918367346938,73.66,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SONE-785,사진 대조 1차 교정본,386,"01:59:17,110 --> 01:59:20,090",2.98,힘 빼고 천천히 받아 줘.,하아!,이 정도로는 아직 끝나지 않을 거야.,반응형,,0.01,,,25.0,90.0,50.0,78.0,79.0,0.95701,0.0,66.0,0.0,0.0,0.6392,천천히 해 줘.,"좋네. 잠깐, 어떻게 돼 있었지?",일본어 원문 + 타임스탬프 사진 + 장면 연속성,55.49,T3,화자·문맥·자연스러움 집중 검토,,97.70408163265306,73.22,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
