title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
ABF-305,사진 대조 1차 교정본,1,"00:00:17,350 --> 00:00:24,150",6.8,"어서 오세요.
저희 회원제 데이트 클럽에 가입해 주셔서 감사합니다.",,"연예인, 그라비아 모델, 인플루언서 등
엄선한 일류 여성만 소개해 드립니다.",중립·혼합형,sub_0001_17.4s.jpg,0.05,,,25.0,90.0,50.0,78.0,75.0,0.76513,0.0,66.0,0.0,0.0,0.4407,시청해 주셔서 감사합니다.,[불명],,47.2,T3,화자·문맥·자연스러움 집중 검토,,93.48630643967432,66.64,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ABF-305,사진 대조 1차 교정본,2,"00:00:26,630 --> 00:00:32,530",5.9,"연예인, 그라비아 모델, 인플루언서 등
엄선한 일류 여성만 소개해 드립니다.","어서 오세요.
저희 회원제 데이트 클럽에 가입해 주셔서 감사합니다.","바로 여쭤볼게요.
어떤 스타일의 여성을 선호하시나요?",중립·혼합형,sub_0002_26.6s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.63741,0.0,66.0,0.0,0.0,0.1837,잘 부탁드립니다.,좋은 아침입니다.,,41.83,T3,화자·문맥·자연스러움 집중 검토,,79.08956328645448,57.48,P3,말투·질문응답·가독성 위주 검토
ABF-305,사진 대조 1차 교정본,3,"00:00:34,370 --> 00:00:37,750",3.38,"바로 여쭤볼게요.
어떤 스타일의 여성을 선호하시나요?","연예인, 그라비아 모델, 인플루언서 등
엄선한 일류 여성만 소개해 드립니다.","희망은... 살집이 좀 있고, 너무 마르지만
않으면 좋겠네요.",존댓말형,sub_0003_34.4s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.54122,0.0,66.0,0.0,18.0,0.1498,바로 즐길게요.,벌써 기대돼요.,사진 장면 확인 및 한국어 번역투·ASR 오역 교정,39.23,T3,화자·문맥·자연스러움 집중 검토,formality_shift,67.91265729089562,51.28,P3,말투·질문응답·가독성 위주 검토
ABF-305,사진 대조 1차 교정본,4,"00:00:39,610 --> 00:00:48,050",8.44,"희망은... 살집이 좀 있고, 너무 마르지만
않으면 좋겠네요.","바로 여쭤볼게요.
어떤 스타일의 여성을 선호하시나요?",알겠습니다. 오늘은 두 분을 추천해 드릴게요.,반말형,sub_0004_39.6s.jpg,0.01,,,25.0,90.0,50.0,78.0,75.0,0.60021,0.0,66.0,0.0,18.0,0.1851,가방에 코스프레 의상도 넣어 두면 좋겠네요.,칫솔도 챙겨 왔어요.,타임스탬프 사진과 앞뒤 장면으로 대사 기능 복원,41.71,T3,화자·문맥·자연스러움 집중 검토,formality_shift,78.60843819393043,57.21,P3,말투·질문응답·가독성 위주 검토
ABF-305,사진 대조 1차 교정본,5,"00:00:48,250 --> 00:01:10,040",21.79,알겠습니다. 오늘은 두 분을 추천해 드릴게요.,"희망은... 살집이 좀 있고, 너무 마르지만
않으면 좋겠네요.",그밖에 원하시는 조건이 더 있으신가요?,중립·혼합형,sub_0005_48.2s.jpg,0.05,,,25.0,90.0,50.0,78.0,75.0,0.77725,0.0,66.0,0.0,0.0,0.2941,정말 바로 시작이네요. 알겠습니다.,정말 바로 시작하네요. 알겠습니다.,한국어 어순 교정,47.7,T3,화자·문맥·자연스러움 집중 검토,,94.67061435973353,67.43,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ABF-305,사진 대조 1차 교정본,6,"00:01:10,500 --> 00:01:17,640",7.14,그밖에 원하시는 조건이 더 있으신가요?,알겠습니다. 오늘은 두 분을 추천해 드릴게요.,"말할 때 귀여운 느낌이거나
웃는 얼굴이 조금 어려 보이면 좋겠어요.",반응형,sub_0006_70.5s.jpg,0.0,,,25.0,90.0,50.0,78.0,75.0,0.70015,0.0,66.0,0.0,0.0,0.3236,나도 조건이 있어.,대신 조건이 하나 있어.,사진 장면 확인 및 한국어 번역투 교정,44.47,T3,화자·문맥·자연스러움 집중 검토,,87.12065136935603,62.38,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ABF-305,사진 대조 1차 교정본,7,"00:01:18,780 --> 00:01:29,280",10.5,"말할 때 귀여운 느낌이거나
웃는 얼굴이 조금 어려 보이면 좋겠어요.",그밖에 원하시는 조건이 더 있으신가요?,알겠습니다. 특히 추천드리는 분은 이분입니다.,중립·혼합형,sub_0007_78.8s.jpg,0.02,,,25.0,90.0,50.0,78.0,75.0,0.57267,0.0,66.0,0.0,0.0,0.1455,조금 쉬어요.,잠깐만요.,,39.11,T3,화자·문맥·자연스러움 집중 검토,,67.46854182087343,51.02,P3,말투·질문응답·가독성 위주 검토
ABF-305,사진 대조 1차 교정본,8,"00:01:29,340 --> 00:01:32,300",2.96,알겠습니다. 특히 추천드리는 분은 이분입니다.,"말할 때 귀여운 느낌이거나
웃는 얼굴이 조금 어려 보이면 좋겠어요.","아, 이분이군요.",존댓말형,sub_0008_89.3s.jpg,0.04,,,25.0,90.0,50.0,78.0,75.0,0.68639,0.0,66.0,0.0,0.0,0.2843,정말 바로 시작이네요. 알겠습니다.,정말 바로 시작하네요. 알겠습니다.,한국어 어순 교정,43.89,T3,화자·문맥·자연스러움 집중 검토,,84.8260547742413,61.08,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ABF-305,사진 대조 1차 교정본,9,"00:01:32,300 --> 00:01:41,420",9.12,"아, 이분이군요.",알겠습니다. 특히 추천드리는 분은 이분입니다.,"네, 이분으로 하겠습니다.",반응형,sub_0009_92.3s.jpg,0.0,,,25.0,90.0,50.0,78.0,75.0,0.35198,0.0,66.0,0.0,0.0,0.2589,"아, 아, 아, 아, 아, 아, 아,","아, 아, 아, 아, 아, 아, 아",,29.84,T4,구조검사 통과 시 유지,,28.71946706143597,29.37,P4,회귀검사 통과 시 유지
ABF-305,사진 대조 1차 교정본,10,"00:01:41,720 --> 00:01:43,300",1.58,"네, 이분으로 하겠습니다.","아, 이분이군요.","네, 알겠습니다.",반응형,sub_0010_101.7s.jpg,0.02,,,25.0,90.0,50.0,78.0,75.0,0.4547,0.0,66.0,0.0,0.0,0.5246,열심히 하겠습니다.,힘내 볼게요.,,34.16,T4,구조검사 통과 시 유지,,46.039970392301996,39.15,P4,회귀검사 통과 시 유지
