title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
ABF-328,사진 대조 1차 교정본,556,"01:18:36,760 --> 01:18:37,520",0.76,이제 가슴으로는 안 해 줄 거야.,그래도 해주고 있잖아.,혀 그렇게 현란하게 굴리지 마.,반말형,sub_0556_4716.8s.jpg,0.04,,,25.0,90.0,50.0,78.0,79.0,0.89466,29.41,66.0,25.0,0.0,0.8951,이제 가슴으로는 안 해줄 거야.,이제 가슴으로는 안 해 줄 거야.,,60.67,T2,후보 3개 생성 후 증거 기반 판정,borderline_cps,100.0,77.19,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,918,"02:31:33,800 --> 02:31:34,260",0.46,숨 가라앉을 때까지 잠시 쉬어.,다시 할 수 있을 때…,잠시만 쉬자.,반응형,sub_0918_9093.8s.jpg,0.0,,,25.0,90.0,50.0,78.0,75.0,0.88973,0.0,66.0,70.0,0.0,0.395,쉬어.,아… 그대로…,타임스탬프 사진으로 장면 불일치 확인 후 재복원,59.43,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.89373007438896,76.42,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,797,"01:54:10,390 --> 01:56:00,060",109.67,으으으…,아직 더…,"아, 잠깐… 뭐야…",반응형,sub_0797_6850.4s.jpg,0.01,,,25.0,90.0,50.0,78.0,75.0,0.99564,0.0,66.0,25.0,0.0,0.3741,으으으...,으으으…,,59.38,T3,화자·문맥·자연스러움 집중 검토,long_duration_short_text,99.7874601487779,76.35,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,817,"02:00:41,890 --> 02:01:52,710",70.82,오오오…,하아아…,"아, 위험해…",중립·혼합형,sub_0817_7241.9s.jpg,0.01,,,25.0,90.0,50.0,78.0,75.0,0.99405,0.0,66.0,25.0,0.0,0.4404,오오… 됐어!,아… 나올 것 같아.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,59.31,T3,화자·문맥·자연스러움 집중 검토,long_duration_short_text,99.68119022316685,76.27,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,911,"02:27:25,400 --> 02:27:25,560",0.16,잠깐 쉬어.,"자, 입으로 해 줘.",응?,반응형,sub_0911_8845.4s.jpg,0.0,,,25.0,90.0,50.0,78.0,75.0,0.80358,18.76,66.0,70.0,0.0,0.8063,쉬어.,아… 그대로…,타임스탬프 사진으로 장면 불일치 확인 후 재복원,59.19,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.57492029755579,76.15,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,520,"01:14:49,250 --> 01:15:14,400",25.15,그만해…,정말 시끄럽네.,너 대체 얼마나 혈기왕성한 거야?,반말형,sub_0520_4489.2s.jpg,0.05,,,25.0,90.0,50.0,78.0,75.0,0.98692,0.0,66.0,25.0,0.0,0.2872,그만해...,그만해…,,59.01,T3,화자·문맥·자연스러움 집중 검토,long_duration_short_text,99.46865037194475,76.0,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,922,"02:34:59,430 --> 02:34:59,930",0.5,얼굴에 묻었는데 바로 닦아 주지 못했어.,오오… 윽…,오오…,반말형,sub_0922_9299.4s.jpg,0.03,한국어 목적어·서술어 자연화,중간,25.0,90.0,50.0,84.0,75.0,0.85028,18.37,48.0,70.0,0.0,0.8031,얼굴에 묻었는데 바로 닦지를 못했어.,얼굴에 묻었는데 바로 닦아 주지 못했어.,한국어 목적어·서술어 자연화,58.2,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.36238044633369,75.49,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,332,"00:51:33,300 --> 00:51:33,780",0.48,이대로 계속하면 나 진짜 싸 버릴지도…,나 진짜 갈 것 같아.,"시끄러워, 진짜.",반말형,sub_0332_3093.3s.jpg,0.0,,,25.0,90.0,50.0,78.0,75.0,0.78016,0.0,66.0,100.0,0.0,0.6425,이대로 계속하면 나 진짜 싸버릴지도...,이대로 계속하면 나 진짜 싸 버릴지도…,,57.83,T3,화자·문맥·자연스러움 집중 검토,high_cps;short_duration_long_text,99.25611052072264,75.23,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,608,"01:22:14,640 --> 01:22:14,820",0.18,속 안쪽 말이야.,"- 안쪽?
- 그게 무슨 뜻이야?","잠깐만, 뭐 하는 거야?!",반말형,sub_0608_4934.6s.jpg,0.04,,,25.0,90.0,50.0,78.0,79.0,0.84566,0.0,66.0,70.0,0.0,0.5864,유두 말이야.,젖꼭지 말이야.,,57.82,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.14984059511158,75.18,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,910,"02:25:29,100 --> 02:25:48,760",19.66,"자, 입으로 해 줘.",편하게 누워.,잠깐 쉬어.,반응형,sub_0910_8729.1s.jpg,0.0,,,25.0,90.0,50.0,78.0,75.0,0.93126,15.91,66.0,0.0,0.0,0.7826,"자, 입으로 해줘.","자, 입으로 해 줘.",,57.04,T3,화자·문맥·자연스러움 집중 검토,,99.04357066950054,74.68,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,840,"02:10:16,330 --> 02:10:16,430",0.1,나 더 이상 못 참겠어.,강아지처럼…,야옹.,반응형,sub_0840_7816.3s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.80438,0.0,66.0,70.0,0.0,0.2668,못 울겠어.,목이 막혀요.,사진 장면 확인 및 한국어 번역투·ASR 오역 교정,55.84,T3,화자·문맥·자연스러움 집중 검토,high_cps,98.93730074388948,73.94,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,731,"01:36:54,550 --> 01:36:56,950",2.4,이렇게 귀여운 여자를 혼자 두고 가 버리려고?,어라? 너 자고 있었잖아.,뭐 하는 거야?,중립·혼합형,sub_0731_5814.6s.jpg,0.05,,,25.0,90.0,50.0,78.0,75.0,0.84829,28.14,66.0,0.0,0.0,0.8845,이렇게 귀여운 여자를 혼자 두고 가버리려고?,이렇게 귀여운 여자를 혼자 두고 가 버리려고?,,55.75,T3,화자·문맥·자연스러움 집중 검토,,98.83103081827844,73.84,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,509,"01:13:12,960 --> 01:13:15,040",2.08,너도 네 멋대로 했으니까 나도 기분 좋게 해 줘.,너도 기분 좋았잖아.,"- 괜찮으니까.
- 뭐가 괜찮다는 거야?",반말형,sub_0509_4393.0s.jpg,0.04,,,25.0,90.0,50.0,78.0,75.0,0.82943,32.28,66.0,0.0,0.0,0.919,너도 네 멋대로 했으니까 나도 기분 좋게 해줘.,너도 네 멋대로 했으니까 나도 기분 좋게 해 줘.,,55.71,T3,화자·문맥·자연스러움 집중 검토,,98.72476089266738,73.78,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,131,"00:29:02,740 --> 00:29:02,880",0.14,"알았어, 움직여 줘.","거짓말, 거짓말.",너 진짜 야하다.,반응형,sub_0131_1742.7s.jpg,0.04,,,25.0,90.0,50.0,78.0,79.0,0.78165,0.0,66.0,70.0,0.0,0.356,역시 움직여 줄게.,이제 움직여 줄게.,사진 장면 확인 및 한국어 번역투·ASR 오역 교정,55.13,T3,화자·문맥·자연스러움 집중 검토,high_cps,98.56535600425079,73.37,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,855,"02:13:06,840 --> 02:13:09,060",2.22,그럼 자세 바꿔서 다시 움직여볼게.,조금 쉬어.,이 자세로 계속하자.,중립·혼합형,sub_0855_7986.8s.jpg,0.04,,,25.0,90.0,50.0,78.0,79.0,0.94834,0.0,66.0,0.0,0.0,0.2868,두 번째 자세로 바꿔 다시 움직여요.,두 번째 자세로 바꿔서 다시 움직여요.,자세 전환 문장 자연화,55.13,T3,화자·문맥·자연스러움 집중 검토,,98.56535600425079,73.37,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,548,"01:17:03,890 --> 01:17:05,510",1.62,그러면서 엄청 원한다는 듯이 핥고 있잖아.,별로 하고 싶지 않았거든!,시끄러워.,중립·혼합형,sub_0548_4623.9s.jpg,0.01,,,25.0,90.0,50.0,78.0,79.0,0.93934,0.0,66.0,0.0,0.0,0.313,엄청 느끼고 있잖아.,엄청 좋아하잖아.,,54.75,T3,화자·문맥·자연스러움 집중 검토,,98.40595111583423,73.09,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,331,"00:51:32,240 --> 00:51:32,460",0.22,나 진짜 갈 것 같아.,이거 진짜 위험한데.,이대로 계속하면 나 진짜 싸 버릴지도…,반응형,sub_0331_3092.2s.jpg,0.04,,,25.0,90.0,50.0,78.0,75.0,0.69498,17.03,66.0,70.0,0.0,0.7919,갈 것 같아.,진짜 갈 것 같아.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,54.31,T3,화자·문맥·자연스러움 집중 검토,high_cps,98.29968119022317,72.79,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,659,"01:27:30,430 --> 01:27:35,170",4.74,'열심히 움직여라'니 엄청 도도하게 구네.,열심히 움직여봐.,네가 원하는 대로 써도 되니까.,반말형,sub_0659_5250.4s.jpg,0.03,,,25.0,90.0,50.0,78.0,79.0,0.91671,0.0,66.0,0.0,0.0,0.1256,열심히 하겠습니다.,힘내 볼게요.,,53.8,T3,화자·문맥·자연스러움 집중 검토,,98.19341126461212,72.45,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,231,"00:39:26,370 --> 00:39:28,610",2.24,자꾸 귀찮게 구니까 됐어. 나 샤워나 할 거야.,뭔데?,요코야마 부장님 전화다.,반말형,sub_0231_2366.4s.jpg,0.03,,,25.0,90.0,50.0,78.0,79.0,0.91491,0.0,66.0,0.0,0.0,0.2072,싫은 거야.,싫어?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,53.73,T3,화자·문맥·자연스러움 집중 검토,,98.08714133900106,72.36,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,596,"01:21:48,740 --> 01:21:50,940",2.2,너 엉덩이가 진짜 예쁘다 싶어서.,뭐 하냐고.,그렇게 엉덩이가 좋아?,반응형,sub_0596_4908.7s.jpg,0.04,,,25.0,90.0,50.0,78.0,79.0,0.91173,0.0,66.0,0.0,0.0,0.3101,엉덩이가 보고 싶어. 엉덩이를 좋아하거든. 그래? 좋아.,엉덩이가 보고 싶어. 내가 엉덩이를 좋아하거든. 그래? 좋아.,화자 분리 및 줄바꿈,53.59,T3,화자·문맥·자연스러움 집중 검토,,97.98087141339002,72.23,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,247,"00:41:07,810 --> 00:41:20,300",12.49,내가 스즈모리한테 맡겼다고 해 버려서 그런가…,요코야마 부장님?,"잠깐, 지금 뭐 하는 거야?!",반말형,sub_0247_2467.8s.jpg,0.01,,,25.0,90.0,50.0,78.0,75.0,0.86484,10.14,66.0,0.0,0.0,0.7345,내가 스즈모리한테 맡겼다고 해버려서 그런가...,내가 스즈모리한테 맡겼다고 해 버려서 그런가…,,53.21,T3,화자·문맥·자연스러움 집중 검토,,97.87460148777896,71.97,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
