before,after,basis,confidence,source_file
위에서 찍으니까 솥밥도 진짜 맛있게 나오네.,솥밥도 위에서 찍어주니까 좋아하겠네.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
여러 번 가능한 사람.,여러 번 할 수 있는 사람.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
역에서 구매할 때의 금액과 다를 수 있으니 양해 바랍니다.,차내에서 구매하면 역 판매 금액과 다를 수 있으니 양해 바랍니다.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
오-!,오!,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"잠깐, 이쪽으로 더 갈 수 있나?",그냥 여기서 살까?,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
촬영이긴 해도.,촬영 중이긴 하지만 말이야.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"음-, 싫어.",음… 싫어.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"음-, 왜 그래?",음… 왜 그래?,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
-읏.,읏.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
아- 기분 좋아…,아… 기분 좋아…,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"하-, 아--, 응.",하아… 아아… 응.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"하-, 응.",하아… 응.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"응-, 아-…",응… 아아…,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
기분 좋아.,기분 안 좋아?,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
고환도 핥아주고.,불알도 핥아주고.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
점점 더 단단해지네. 그러게. 난 아직 핥아주기만 했는데.,점점 더 단단해지네. 그러게.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
아직 제대로 시작도 안 했는데. 우리 식스나인 하자.,난 아직 안 빨아줬잖아. 우리 식스나인 하자.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
침대가 이제 여기 없잖아.,침대가 여기까지 밀렸잖아.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
왜 없지?,어라?,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"그러게, 어디 갔지?",완전 비스듬해졌네.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"안 돼, 그만해.","배 아파, 그만해.",,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"한 번 더, 내려와 줘.",조금만 더 내려와 줘.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"아아-, 아아…",아아… 아아…,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
땀까지 살짝 핥았네. 좋아?,땀이 살짝 튀었네. 기분 좋아?,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
너 이런 거 좋아하잖아.,이렇게 묶이는 거 좋아하잖아.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
이런 거 좋아하지?,묶여 있는 거 좋아하지?,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"아, 말해버렸어.","아, 넣고 싶다고 말해버렸어.",,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
이제 안 할게.,이제 안 애태울게.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
시끄러워.,넣고 싶어.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
엄청 적극적으로 들이대네.,바로 위로 올라타네.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
바로 밀어붙이네.,바로 갖다 대네.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
자면 안 돼. 자면 안 돼.,가면 안 돼. 아직 가면 안 돼.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"음-, 맛있어.",음… 맛있어.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
위험해.,큰일 나.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"아, 위험해.","아, 큰일 나.",,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"아, 좋아.","아, 들어온다.",,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"아, 굉장해.","아, 엄청나.",,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
굉장해.,엄청나.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"아-, 굉장해.",아… 엄청나.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
손에 싸도 돼?,엉덩이에 싸도 돼?,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"아-, 엄청…",아… 엄청…,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
절대 귀엽잖아.,분명 귀여울 텐데.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
엄청 깊이 닿았어.,엄청 많이 묻혔네.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
"민낯에 머리 올린 모습, 그런 느낌.","민낯에 정액 묻힌 모습, 이런 느낌.",,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
앨리스잖아.,앨리스도 그렇잖아.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
에--,에…,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
왜 계속 흔들고 있어?,왜 계속 자지 흔들고 있어?,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
왜 계속 흔들고 있어?,왜 자꾸 흔들고 있어?,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
더 크게 만들려고.,진짜 더 커졌네.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
더 크게 만들어버렸네.,계속 커지고 있어.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
엄청 두근거리는데.,엄청 펄떡거리는데.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
얼굴 보니까 또 흥분해 버렸어.,얼굴 보니까 또 서버렸어.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
굉장해. 굉장해.,엄청나. 진짜 엄청나.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
뭔가 귀엽게 보이기도 했어.,얼굴 보느라 넋 놓고 있었어.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
나온다…,나올 것 같아…,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
나왔어…,"아, 물 나왔어…",,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
누워 있었어.,더 뿜어봐.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
누워.,물 나온다.,,,/mnt/data/ABF-169.final-natural-verified-ko.v8.changes.csv
같이 좀 가요.,그럼 같이 가요.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
매번 지금까지는 항상 계셨는데 말이죠.,지금까지는 만날 때마다 바로 해 버렸으니까요.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
어느 쪽으로 가도 경치가 좋네.,어느 쪽을 봐도 경치가 좋네.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
지금 속도가 어느 정도야?,지금 속도가 얼마나 되지?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
몇 킬로 정도예요? 시속.,시속 몇 킬로쯤이에요?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"지금, 시속.",지금 속도요?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
시속은?,시속으로는?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"아, 해 버렸다.","아, 찍혔다.",일본어 원문 대조 + 자연스러운 한국어 대사 교정,높음,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
"그다음에는, 그다음에는…",그리고 또 어디 갔어?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,중간,/mnt/data/ABF-303_photo_verified_retranslation/ABF-303.final-photo-verified-retranslated-ko.v1.changes.csv
