title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
ADN-789,사진 대조 1차 교정본,1,"00:00:15,650 --> 00:00:19,670",4.02,"미카미 씨, 이거 회의 때 쓸 자료예요.
확인 부탁드려요.",,감사합니다.,존댓말형,,0.05,,,25.0,90.0,50.0,78.0,75.0,0.66787,0.0,66.0,0.0,0.0,0.1542,"후와 씨, 좋아해요.","후우아 씨, 좋아해요.",출연자 이름 오인식 교정,43.11,T3,화자·문맥·자연스러움 집중 검토,,75.0915750915751,56.54,P3,말투·질문응답·가독성 위주 검토
ADN-789,사진 대조 1차 교정본,2,"00:00:20,190 --> 00:00:20,590",0.4,감사합니다.,"미카미 씨, 이거 회의 때 쓸 자료예요.
확인 부탁드려요.","아, 잠깐만요, 사토 씨.",존댓말형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.3519,42.0,66.0,0.0,0.0,1.0,감사합니다.,고마워요.,타임스탬프 사진과 앞뒤 장면으로 대사 기능 복원,37.4,T3,화자·문맥·자연스러움 집중 검토,,52.38095238095239,43.69,P3,말투·질문응답·가독성 위주 검토
ADN-789,사진 대조 1차 교정본,3,"00:00:23,230 --> 00:00:24,710",1.48,"아, 잠깐만요, 사토 씨.",감사합니다.,"네, 무슨 일이시죠?",반응형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.64013,0.0,66.0,0.0,0.0,0.3551,잠깐만요.,조금만 기다려.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,41.95,T3,화자·문맥·자연스러움 집중 검토,,70.6959706959707,54.02,P3,말투·질문응답·가독성 위주 검토
ADN-789,사진 대조 1차 교정본,4,"00:00:26,110 --> 00:00:27,430",1.32,"네, 무슨 일이시죠?","아, 잠깐만요, 사토 씨.","무슨 일이냐니요? 이 숫자,
수정 전 그대로잖아요.",반말형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.46655,0.0,66.0,0.0,0.0,0.2612,"네, 네.",네.,불필요한 반복 제거,34.66,T4,구조검사 통과 시 유지,,38.095238095238095,36.1,P4,회귀검사 통과 시 유지
ADN-789,사진 대조 1차 교정본,5,"00:00:28,110 --> 00:00:33,250",5.14,"무슨 일이냐니요? 이 숫자,
수정 전 그대로잖아요.","네, 무슨 일이시죠?",죄송합니다.,중립·혼합형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.41364,0.0,66.0,0.0,0.0,0.1189,무슨 얘기였지?,어때?,일본어 원문 + 타임스탬프 사진 + 장면 연속성,32.43,T4,구조검사 통과 시 유지,,31.5018315018315,32.04,P4,회귀검사 통과 시 유지
ADN-789,사진 대조 1차 교정본,6,"00:00:34,010 --> 00:00:34,630",0.62,죄송합니다.,"무슨 일이냐니요? 이 숫자,
수정 전 그대로잖아요.","죄송하다니요, 제대로 확인하라고
몇 번이나 말씀드렸잖아요.",존댓말형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.19278,15.03,66.0,0.0,0.0,0.7753,죄송합니다...,죄송합니다…,,25.86,T4,구조검사 통과 시 유지,,8.058608058608058,18.38,P4,회귀검사 통과 시 유지
ADN-789,사진 대조 1차 교정본,7,"00:00:35,430 --> 00:00:39,450",4.02,"죄송하다니요, 제대로 확인하라고
몇 번이나 말씀드렸잖아요.",죄송합니다.,"회의 자료가 얼마나 중요한지
잘 아시잖아요.",중립·혼합형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.47939,0.0,66.0,0.0,0.0,0.1709,제대로 쉬어 주세요.,잠깐 제대로 쉬어요.,부자연스러운 높임말 교정,35.19,T3,화자·문맥·자연스러움 집중 검토,,42.49084249084249,38.26,P4,회귀검사 통과 시 유지
ADN-789,사진 대조 1차 교정본,8,"00:00:41,090 --> 00:00:44,170",3.08,"회의 자료가 얼마나 중요한지
잘 아시잖아요.","죄송하다니요, 제대로 확인하라고
몇 번이나 말씀드렸잖아요.","이렇게 확인도 안 한 자료는
다신 가져오지 마세요.",반말형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.44814,0.0,66.0,0.0,0.0,0.1359,"아니, 재미있을까 해서 말이야. 네가 얼마나 참을 수 있는지도 알고 싶었고.",조금만 천천히…,타임스탬프 사진으로 장면 불일치 확인 후 재복원,33.88,T4,구조검사 통과 시 유지,,35.16483516483517,34.42,P4,회귀검사 통과 시 유지
ADN-789,사진 대조 1차 교정본,9,"00:00:45,030 --> 00:00:48,570",3.54,"이렇게 확인도 안 한 자료는
다신 가져오지 마세요.","회의 자료가 얼마나 중요한지
잘 아시잖아요.","네, 죄송합니다.
다신 이런 일 없도록 주의하겠습니다.",중립·혼합형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.41213,0.0,66.0,0.0,0.0,0.202,이렇게 몸을 빼 주세요.,이렇게 몸을 뒤로 빼 주세요.,동작 방향 명확화,32.37,T4,구조검사 통과 시 유지,,31.135531135531135,31.85,P4,회귀검사 통과 시 유지
ADN-789,사진 대조 1차 교정본,10,"00:00:49,130 --> 00:00:53,390",4.26,"네, 죄송합니다.
다신 이런 일 없도록 주의하겠습니다.","이렇게 확인도 안 한 자료는
다신 가져오지 마세요.","없도록 하겠다니,
믿을 수가 있어야죠.",중립·혼합형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.47538,0.0,66.0,0.0,0.0,0.3892,죄송합니다...,죄송합니다…,,35.03,T3,화자·문맥·자연스러움 집중 검토,,42.124542124542124,38.01,P4,회귀검사 통과 시 유지
ADN-789,사진 대조 1차 교정본,11,"00:00:54,430 --> 00:00:57,230",2.8,"없도록 하겠다니,
믿을 수가 있어야죠.","네, 죄송합니다.
다신 이런 일 없도록 주의하겠습니다.","사야, 이제 그만해.",반응형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.29475,0.0,66.0,0.0,0.0,0.1516,- 사야 냄새가 지워지니까. - 그래도 제대로 씻어야죠.,- 네 냄새가 지워지니까. - 그래도 깨끗이 씻어야죠.,화면 영문 자막 대조,27.44,T4,구조검사 통과 시 유지,,13.186813186813188,21.45,P4,회귀검사 통과 시 유지
ADN-789,사진 대조 1차 교정본,12,"00:00:58,150 --> 00:00:59,590",1.44,"사야, 이제 그만해.","없도록 하겠다니,
믿을 수가 있어야죠.",죄송했습니다.,반말형,,0.05,,,25.0,90.0,50.0,78.0,75.0,0.43063,0.0,66.0,0.0,0.0,0.5665,"안 돼, 그만해.","배 아파, 그만해.",,33.15,T4,구조검사 통과 시 유지,,33.6996336996337,33.38,P4,회귀검사 통과 시 유지
ADN-789,사진 대조 1차 교정본,13,"00:01:02,510 --> 00:01:03,310",0.8,죄송했습니다.,"사야, 이제 그만해.","왜 그래?
요즘 너무 예민한 거 아냐?",존댓말형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.30151,0.0,66.0,0.0,18.0,0.2142,좋습니다.,좋아요.,,29.16,T4,구조검사 통과 시 유지,formality_shift,17.94871794871795,24.45,P4,회귀검사 통과 시 유지
ADN-789,사진 대조 1차 교정본,14,"00:01:07,250 --> 00:01:10,690",3.44,"왜 그래?
요즘 너무 예민한 거 아냐?",죄송했습니다.,"맞아, 여보 때문이야.",중립·혼합형,,0.05,,,25.0,90.0,50.0,78.0,75.0,0.51582,0.0,66.0,0.0,0.0,0.431,너무 빳빳한 거 아냐?,엄청 단단하네.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,36.72,T3,화자·문맥·자연스러움 집중 검토,,48.717948717948715,41.76,P3,말투·질문응답·가독성 위주 검토
