title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
SSIS-400,사진 대조 1차 교정본,1,"00:01:56,640 --> 00:01:57,420",0.78,카에데 씨.,,"응? 카에데 씨, 이번에도 정규직 채용 시험 볼 거야?",중립·혼합형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.35572,0.0,66.0,0.0,0.0,0.4502,카에데 후와 씨라는…,카에데 후우아 씨라는 분입니다.,출연자 이름 오인식 교정,30.0,T4,구조검사 통과 시 유지,,21.17834394904459,26.29,P4,회귀검사 통과 시 유지
SSIS-400,사진 대조 1차 교정본,2,"00:01:57,660 --> 00:02:02,100",4.44,"응? 카에데 씨, 이번에도 정규직 채용 시험 볼 거야?",카에데 씨.,응. 호나카 씨는?,반말형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.77715,0.0,66.0,0.0,0.0,0.217,카에데 후와 씨라는…,카에데 후우아 씨라는 분입니다.,출연자 이름 오인식 교정,47.7,T3,화자·문맥·자연스러움 집중 검토,,79.93630573248409,61.24,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
SSIS-400,사진 대조 1차 교정본,3,"00:02:02,540 --> 00:02:04,000",1.46,응. 호나카 씨는?,"응? 카에데 씨, 이번에도 정규직 채용 시험 볼 거야?",난 안 볼래. 계약직이 마음도 편하고 빨리 결혼하고 싶거든.,반응형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.52864,0.0,66.0,0.0,0.0,0.1885,유두? 응.,젖꼭지? 응.,,37.26,T3,화자·문맥·자연스러움 집중 검토,,44.904458598726116,40.47,P3,말투·질문응답·가독성 위주 검토
SSIS-400,사진 대조 1차 교정본,4,"00:02:04,900 --> 00:02:10,060",5.16,난 안 볼래. 계약직이 마음도 편하고 빨리 결혼하고 싶거든.,응. 호나카 씨는?,그렇구나. 나는 정규직으로 제대로 일하고 싶어서.,중립·혼합형,,0.0,,,25.0,90.0,50.0,78.0,75.0,0.86666,0.0,66.0,0.0,0.0,0.1713,빨리 핥아 봐.,빨리 핥아 줘.,화자 말투 자연화,51.46,T3,화자·문맥·자연스러움 집중 검토,,92.99363057324841,68.9,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
SSIS-400,사진 대조 1차 교정본,5,"00:02:10,420 --> 00:02:15,600",5.18,그렇구나. 나는 정규직으로 제대로 일하고 싶어서.,난 안 볼래. 계약직이 마음도 편하고 빨리 결혼하고 싶거든.,카에데 씨라면 괜찮을 거야.,중립·혼합형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.78109,0.0,66.0,0.0,0.0,0.4875,그렇구나.,손 정말 잘 쓰네.,일본어 원문 + 타임스탬프 사진 + 장면 연속성,47.87,T3,화자·문맥·자연스러움 집중 검토,,81.52866242038218,62.01,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
SSIS-400,사진 대조 1차 교정본,6,"00:02:16,260 --> 00:02:17,820",1.56,카에데 씨라면 괜찮을 거야.,그렇구나. 나는 정규직으로 제대로 일하고 싶어서.,그럴까? 하지만 난 아직 스피킹이 약해서.,반말형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.52963,0.0,66.0,0.0,0.0,0.3691,카에데 후와 씨라는…,카에데 후우아 씨라는 분입니다.,출연자 이름 오인식 교정,37.3,T3,화자·문맥·자연스러움 집중 검토,,45.22292993630573,40.63,P3,말투·질문응답·가독성 위주 검토
SSIS-400,사진 대조 1차 교정본,7,"00:02:18,460 --> 00:02:22,040",3.58,그럴까? 하지만 난 아직 스피킹이 약해서.,카에데 씨라면 괜찮을 거야.,그러면 오다기리 부장과 자면 되잖아.,반말형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.80665,0.0,66.0,0.0,0.0,0.1438,"하지만 앨리스, 이걸 사랑해 줘.","앨리스, 더 느껴 줘.",부자연스러운 명령문을 장면에 맞게 교정,48.94,T3,화자·문맥·자연스러움 집중 검토,,84.71337579617835,63.96,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
SSIS-400,사진 대조 1차 교정본,8,"00:02:26,020 --> 00:02:30,140",4.12,그러면 오다기리 부장과 자면 되잖아.,그럴까? 하지만 난 아직 스피킹이 약해서.,뭐?,반응형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.81375,0.0,66.0,0.0,0.0,0.4395,안 되잖아.,안 되지.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,49.24,T3,화자·문맥·자연스러움 집중 검토,,86.30573248407643,64.81,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
SSIS-400,사진 대조 1차 교정본,9,"00:02:30,380 --> 00:02:30,440",0.06,뭐?,그러면 오다기리 부장과 자면 되잖아.,응?,중립·혼합형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.39609,0.0,66.0,70.0,0.0,0.3646,뭐? 아침에 졸려? 하고 바로…,뭐? 아침부터 졸리다고 해 놓고…,사진 장면 확인 및 한국어 번역투·ASR 오역 교정,38.7,T3,화자·문맥·자연스러움 집중 검토,high_cps,51.59235668789809,44.11,P3,말투·질문응답·가독성 위주 검토
SSIS-400,사진 대조 1차 교정본,10,"00:02:31,220 --> 00:02:31,460",0.24,응?,뭐?,몰랐어? 오다기리 부장과 자면 빠짐없이 정규직이 된대.,반응형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.24609,0.0,66.0,0.0,0.0,0.4432,응? 잠깐 기다려…,응? 잠깐만…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,25.4,T4,구조검사 통과 시 유지,,5.414012738853503,17.01,P4,회귀검사 통과 시 유지
