title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
ADN-746,사진 대조 1차 교정본,197,"00:41:40,780 --> 00:42:56,070",75.29,아…,이러다 나 망가져 버리겠어…,"마음을 전해야 한다고 생각하면서도…
참 어려운 말을 하신단 말이지.",반응형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.9851,9.97,66.0,25.0,0.0,0.7331,"싫어, 아… 아… 아…",싫어… 아… 아…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,60.73,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,100.0,77.22,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ADN-746,사진 대조 1차 교정본,196,"00:36:45,650 --> 00:41:40,780",295.13,이러다 나 망가져 버리겠어…,아… 너무 좋아…,아…,반응형,,0.05,,,25.0,90.0,50.0,78.0,75.0,0.97012,0.0,66.0,0.0,0.0,0.2296,누가 보면 흐트러져 버리겠어.,계속 보고 있으면 빠져들 것 같아.,사진 장면 확인 및 한국어 번역투·ASR 오역 교정,55.8,T3,화자·문맥·자연스러움 집중 검토,,99.71910112359551,74.25,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ADN-746,사진 대조 1차 교정본,258,"01:11:28,960 --> 01:11:32,560",3.6,그럼에도 나는 그녀의 치명적인 매력에 완전히 사로잡혀 있었다.,"하지만 우리는 연인 관계가 아니었고,
그저 휘둘리고 있다는 말이 딱 어울렸다.",그래서 말인데… 미안해. 헤어지자.,중립·혼합형,,0.04,,,25.0,90.0,50.0,78.0,79.0,0.94976,0.0,66.0,0.0,0.0,0.1781,조미료가 돼 있었다.,마치 자극을 더하는 양념 같았다.,,55.19,T3,화자·문맥·자연스러움 집중 검토,,99.43820224719101,73.77,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ADN-746,사진 대조 1차 교정본,339,"01:44:50,040 --> 01:46:00,020",69.98,계속 키스해 줘…,키스하자.,하아… 하아…,반말형,,0.04,,,25.0,90.0,50.0,78.0,79.0,0.90561,0.0,66.0,0.0,0.0,0.2566,두 번째로 가게 해 줘…,한 번 더 가게 해 줘…,타임스탬프 사진과 장면 흐름으로 명백한 오인식 교정,53.34,T3,화자·문맥·자연스러움 집중 검토,,99.15730337078652,72.58,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ADN-746,사진 대조 1차 교정본,255,"01:11:09,980 --> 01:11:13,240",3.26,그 뒤로도 우리 둘의 이상한 관계는 계속됐다.,아… 기분 좋아…,"사랑이 부족하다는 말을 들을 때마다
그녀를 갈구하며 격렬히 허리를 흔들었다.",중립·혼합형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.90621,0.0,66.0,0.0,0.0,0.307,그 후로 우리 두 사람의 기묘한 관계는 계속되었다.,그 뒤로도 우리 둘의 이상한 관계는 계속됐다.,,53.12,T3,화자·문맥·자연스러움 집중 검토,,98.87640449438202,72.34,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ADN-746,사진 대조 1차 교정본,284,"01:14:20,800 --> 01:14:27,260",6.46,"일할 때도, 쉴 때도 온통 시로미네 씨 생각만 날 정도로요.",지금은 얼마나 좋은데?,내 몸이랑 거기가 목적인 거 아냐?,반말형,,0.0,,,25.0,90.0,50.0,78.0,75.0,0.88576,0.0,66.0,0.0,0.0,0.1447,"아니, 시로미네 씨를 좋아했지만 일적인 관계끼리는 연애 안 하신다고 해서…","시로미네 씨를 좋아했지만, 일로 엮인 사람과는 연애 안 한다고 하셔서…",번역투 제거,52.26,T3,화자·문맥·자연스러움 집중 검토,,98.59550561797754,71.72,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,186,"00:26:43,010 --> 00:27:02,220",19.21,기분 좋아. 기분 좋아.,만져도 돼요?,"있지, 날 향한 네 사랑, 이 정도뿐이야?",반응형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.68478,42.0,66.0,0.0,0.0,1.0,기분 좋아.,"아, 좋아.",화면 영문 자막 대조,51.38,T3,화자·문맥·자연스러움 집중 검토,,98.31460674157303,71.09,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,352,"01:50:10,360 --> 01:50:13,460",3.1,"너, 다른 남자랑 놀아나고 있는 건 아니겠지?",고마워. 가게 운영 자금으로 요긴하게 쓸게.,그럴 리가 없잖아. 나한테 이렇게까지 해 주는데.,반말형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.86283,0.0,66.0,0.0,0.0,0.1269,"저기, 다른 여자랑도 해 본 적 있어?",다른 여자들이랑도 많이 해 봤어?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,51.3,T3,화자·문맥·자연스러움 집중 검토,,98.03370786516854,70.93,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,345,"01:47:48,260 --> 01:47:51,280",3.02,대박… 완전히 가 버렸네. 몇 번이고 더 가게 해 줄게.,대단하다.,기분 좋아.,반말형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.86223,0.0,66.0,0.0,0.0,0.3401,"몇 번이고, 몇 번이고 가라.",이번엔 내가 핥아 줄게.,화면 영문 자막 대조,51.27,T3,화자·문맥·자연스러움 집중 검토,,97.75280898876404,70.79,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,121,"00:12:42,830 --> 00:12:47,090",4.26,"너 말이야, 나 좋아한다고 하지 않았어?",일주일 전?,네.,반말형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.84403,0.0,66.0,0.0,0.0,0.3946,이상하지 않았어?,오래 만난 사람은?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,50.51,T3,화자·문맥·자연스러움 집중 검토,,97.3314606741573,70.18,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,314,"01:35:05,420 --> 01:35:10,940",5.52,조금만 숨 좀 돌릴게…,잠깐 쉬자.,"하아, 하아…",중립·혼합형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.84414,0.0,66.0,0.0,0.0,0.3351,조금만 더...,조금만 더…,,50.51,T3,화자·문맥·자연스러움 집중 검토,,97.3314606741573,70.18,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,353,"01:50:15,100 --> 01:50:18,200",3.1,그럴 리가 없잖아. 나한테 이렇게까지 해 주는데.,"너, 다른 남자랑 놀아나고 있는 건 아니겠지?",그렇겠지. 딴놈 생기면 가만 안 둔다.,반말형,,0.0,,,25.0,90.0,50.0,78.0,75.0,0.8437,0.0,66.0,0.0,0.0,0.409,말할 리가 없잖아.,들킬 리가 없잖아.,앞뒤 대사 문맥 교정,50.5,T3,화자·문맥·자연스러움 집중 검토,,96.91011235955057,69.99,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,313,"01:34:52,620 --> 01:34:55,500",2.88,잠깐 쉬자.,맛있어.,조금만 숨 좀 돌릴게…,반응형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.74154,21.9,66.0,0.0,0.0,0.8325,쉬자.,너무 깊이 들어가.,일본어 원문 + 타임스탬프 사진 + 장면 연속성,50.15,T3,화자·문맥·자연스러움 집중 검토,,96.62921348314607,69.67,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,351,"01:50:06,380 --> 01:50:08,800",2.42,고마워. 가게 운영 자금으로 요긴하게 쓸게.,네.,"너, 다른 남자랑 놀아나고 있는 건 아니겠지?",중립·혼합형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.82603,0.0,66.0,0.0,0.0,0.4358,고마워.,손으로 잡아 줘.,일본어 원문 + 타임스탬프 사진 + 장면 연속성,49.75,T3,화자·문맥·자연스러움 집중 검토,,96.34831460674157,69.32,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,62,"00:06:00,150 --> 00:06:04,370",4.22,여기 제가 좋아하는 레스토랑인데 마음에 드시나요?,무슨 생각을 하는지 잘 모르겠기도 하고.,맛있네요.,중립·혼합형,,0.05,,,25.0,90.0,50.0,78.0,75.0,0.82001,0.0,66.0,0.0,0.0,0.1949,다리 좋아하는 남자.,다리 좋아하는 남자 많잖아.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,49.5,T3,화자·문맥·자연스러움 집중 검토,,96.06741573033707,69.06,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,60,"00:05:46,340 --> 00:05:49,100",2.76,시로미네 씨는 은근히 압박감이 있어.,없어요.,무슨 생각을 하는지 잘 모르겠기도 하고.,반응형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.81801,0.0,66.0,0.0,0.0,0.1839,뒤에 있어.,뒤쪽도 보여 줘.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,49.42,T3,화자·문맥·자연스러움 집중 검토,,95.78651685393258,68.89,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,225,"00:48:57,040 --> 00:48:57,580",0.54,기분 좋아.,날 더 원해 줘.,잠깐만 쉬게 해 주세요…,반응형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.63345,42.0,66.0,0.0,0.0,1.0,기분 좋아.,"아, 좋아.",화면 영문 자막 대조,49.22,T3,화자·문맥·자연스러움 집중 검토,,95.50561797752809,68.66,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,232,"00:53:38,460 --> 00:53:43,400",4.94,나 좋아하는 거 맞지? 더 뜨겁게 세워봐.,제발 잠깐만 쉬게 해 주세요!,"그래, 그렇게.",반말형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.81174,0.0,66.0,0.0,0.0,0.2555,"뜨겁게 쑤셔지면,",뜨겁게 쑤셔지면,,49.15,T3,화자·문맥·자연스러움 집중 검토,,95.2247191011236,68.5,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,189,"00:30:48,510 --> 00:30:49,930",1.42,고작 이 정도는 아니잖아.,증명해 봐.,"아, 아… 아…",반응형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.80952,0.0,66.0,0.0,0.0,0.3264,"저기, 우리가 손톱이라고 말한 건 아니잖아.",아까 손톱으로 긁은 건 아니잖아.,타임스탬프 사진과 앞뒤 장면으로 대사 기능 복원,49.06,T3,화자·문맥·자연스러움 집중 검토,,94.9438202247191,68.33,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,61,"00:05:49,820 --> 00:05:52,060",2.24,무슨 생각을 하는지 잘 모르겠기도 하고.,시로미네 씨는 은근히 압박감이 있어.,여기 제가 좋아하는 레스토랑인데 마음에 드시나요?,반말형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.80589,0.0,66.0,0.0,0.0,0.2643,이걸 입기도 하고.,이것도 먹어 봐.,타임스탬프 사진과 앞뒤 장면으로 대사 기능 복원,48.91,T3,화자·문맥·자연스러움 집중 검토,,94.66292134831461,68.13,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,187,"00:27:58,880 --> 00:28:04,420",5.54,"있지, 날 향한 네 사랑, 이 정도뿐이야?",기분 좋아. 기분 좋아.,증명해 봐.,반말형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.80369,0.0,66.0,0.0,0.0,0.1259,어느 쪽이야?,어디가 좋아?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,48.81,T3,화자·문맥·자연스러움 집중 검토,,94.3820224719101,67.95,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,117,"00:12:20,690 --> 00:12:23,630",2.94,오늘 같이 온 여자친구는 언제 사귄 거야?,무슨 도와드릴 일이라도 있나요?,여자친구… 여자친구 말씀이세요?,반말형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.73585,0.0,66.0,0.0,35.0,0.2503,남자친구는 없지만...,남자친구는 없지만…,,48.77,T3,화자·문맥·자연스러움 집중 검토,formality_jump,94.10112359550563,67.81,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,340,"01:46:00,020 --> 01:46:39,530",39.51,하아… 하아…,계속 키스해 줘…,기뻐요.,반응형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.61865,42.0,66.0,0.0,0.0,1.0,하아…,보여 줘.,일본어 원문 + 타임스탬프 사진 + 장면 연속성,48.6,T3,화자·문맥·자연스러움 집중 검토,,93.82022471910112,67.59,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ADN-746,사진 대조 1차 교정본,146,"00:17:31,110 --> 00:17:34,970",3.86,하지만 가게에서 이러는 건 역시 곤란해요.,미안해요…,문 닫았으니까 괜찮아.,반말형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.79635,0.0,66.0,0.0,0.0,0.3197,카메라에 안 찍히면 곤란해요.,카메라에 안 보이잖아.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,48.51,T3,화자·문맥·자연스러움 집중 검토,,93.53932584269663,67.42,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
