title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
ABF-169,기준본,839,"01:53:46,540 --> 01:53:46,560",0.02,헤어밴드 한 의미가 없겠는데.,이거 헤어밴드 한 의미가 없겠는데.,잠깐만.,반응형,,,,,25.0,30.0,50.0,78.0,75.0,0.98547,0.0,58.0,70.0,0.0,0.1454,"상대가 기분 좋아지지 않으면 의미가 없다고 생각해서, 조금 대화도 하면서 자극하는 게 제 방식이에요.","상대가 좋아하지 않으면 의미가 없으니까, 대화하면서 천천히 자극하는 편이에요.",,62.17,T2,후보 3개 생성 후 증거 기반 판정,high_cps,100.0,78.06,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-169,기준본,530,"01:06:14,360 --> 01:06:16,460",2.1,땀까지 살짝 핥았네. 좋아?,만지는 거 싫어?,싫어.,반응형,,,,,25.0,30.0,50.0,78.0,79.0,0.86675,42.0,58.0,0.0,0.0,1.0,땀까지 살짝 핥았네. 좋아?,땀이 살짝 튀었네. 기분 좋아?,,57.98,T3,화자·문맥·자연스러움 집중 검토,,99.91532599491956,75.59,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-169,기준본,702,"01:31:44,570 --> 01:31:44,970",0.4,엄청 적극적으로 들이대네.,시끄러워.,바로 밀어붙이네.,반응형,,,,,25.0,30.0,50.0,78.0,75.0,0.68868,42.0,58.0,70.0,0.0,1.0,엄청 적극적으로 들이대네.,바로 위로 올라타네.,,57.26,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.83065198983911,75.14,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-169,기준본,1105,"02:23:57,780 --> 02:24:40,310",42.53,얼굴 보니까 또 흥분해 버렸어.,조금만 쉬었다가 다시 하자.,굉장해. 굉장해.,반응형,,,,,25.0,30.0,50.0,78.0,75.0,0.83393,42.0,58.0,0.0,0.0,1.0,얼굴 보니까 또 흥분해 버렸어.,얼굴 보니까 또 서버렸어.,,56.37,T3,화자·문맥·자연스러움 집중 검토,,99.74597798475868,74.59,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-169,기준본,549,"01:09:45,780 --> 01:09:47,300",1.52,엉덩이 힘 좀 빼 봐.,기분 좋아.,기분 좋아.,중립·혼합형,,,,,25.0,30.0,50.0,78.0,83.0,0.90888,17.93,58.0,0.0,0.0,0.7995,엉덩이 좀 봐.,이 유카타 진짜 귀엽네.,일본어 원문 + 타임스탬프 사진 + 장면 연속성,55.66,T3,화자·문맥·자연스러움 집중 검토,,99.66130397967824,74.14,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-169,기준본,57,"00:04:08,900 --> 00:04:14,540",5.64,역에서 구매할 때의 금액과 다를 수 있으니 양해 바랍니다.,여러 번 가능한 사람.,특실은 9호차입니다.,반말형,,,,,25.0,30.0,50.0,78.0,75.0,0.80349,42.0,58.0,0.0,0.0,1.0,역에서 구매할 때의 금액과 다를 수 있으니 양해 바랍니다.,차내에서 구매하면 역 판매 금액과 다를 수 있으니 양해 바랍니다.,,55.09,T3,화자·문맥·자연스러움 집중 검토,,99.5766299745978,73.77,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-169,기준본,25,"00:02:36,260 --> 00:02:37,680",1.42,위에서 찍으니까 솥밥도 진짜 맛있게 나오네.,위에서.,잘 나왔다.,반말형,,,,,25.0,30.0,50.0,78.0,75.0,0.79937,42.0,58.0,0.0,0.0,1.0,위에서 찍으니까 솥밥도 진짜 맛있게 나오네.,솥밥도 위에서 찍어주니까 좋아하겠네.,,54.91,T3,화자·문맥·자연스러움 집중 검토,,99.49195596951735,73.63,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-169,기준본,896,"02:05:40,880 --> 02:05:42,820",1.94,"민낯에 머리 올린 모습, 그런 느낌.",엄청 깊이 닿았어.,싫어.,중립·혼합형,,,,,25.0,30.0,50.0,78.0,75.0,0.78783,42.0,58.0,0.0,0.0,1.0,"민낯에 머리 올린 모습, 그런 느낌.","민낯에 정액 묻힌 모습, 이런 느낌.",,54.43,T3,화자·문맥·자연스러움 집중 검토,,99.40728196443692,73.32,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-169,기준본,670,"01:29:28,090 --> 01:29:28,510",0.42,끝부분만 넣는 거 좋아해?,끝부분만 넣는 거 좋아해?,끝에만 자극하는 것도 좋아.,반응형,,,,,25.0,30.0,50.0,78.0,79.0,0.80004,0.0,58.0,60.95,0.0,0.4707,유두 좋아해?,젖꼭지 좋아해?,,53.72,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.32260795935647,72.87,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-169,기준본,45,"00:03:28,980 --> 00:03:33,200",4.22,그래도 사람이 거의 없어서 생각만큼 스릴 있진 않았어요.,어땠어?,사람이 좀 더 있었으면 나올 때 민망하지 않았어?,중립·혼합형,,,,,25.0,30.0,50.0,78.0,75.0,0.93503,0.0,58.0,0.0,0.0,0.2885,너무 놀라지는 않았어요.,그렇게 놀라진 않았어요.,,53.05,T3,화자·문맥·자연스러움 집중 검토,,99.23793395427603,72.45,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-169,기준본,612,"01:22:08,430 --> 01:22:09,270",0.84,젖꼭지 핥아줬으면 좋겠어.,젖꼭지.,아까 그렇게 핥아줬는데도 또?,반응형,,,,,25.0,30.0,50.0,78.0,83.0,0.87738,6.79,58.0,0.0,0.0,0.7066,핥아줬으면 좋겠어...,핥아줬으면 좋겠어…,,52.33,T3,화자·문맥·자연스러움 집중 검토,,99.15325994919559,72.0,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
ABF-169,기준본,488,"00:56:00,220 --> 00:56:00,400",0.18,왜 못 움직이게 해?,"아, 진짜 미치겠어.
왜 못 움직이게 해?",기분 좋지.,반말형,,,,,25.0,30.0,50.0,78.0,79.0,0.74163,0.0,58.0,70.0,0.0,0.1786,기억해 줬으면 해?,"여기, 기억해 줬으면 해요.",사진 장면 확인 및 한국어 번역투·ASR 오역 교정,52.17,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.06858594411516,71.87,P2,앞뒤 5블록·사진·오류 기억을 함께 검토
