title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
SONE-785,사진 대조 1차 교정본,377,"01:46:29,080 --> 01:47:32,230",63.15,아아…,아아…,아아…,반응형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.98702,42.0,66.0,25.0,30.0,1.0,아아…,"와, 진짜 많이 커졌어.",일본어 원문 + 타임스탬프 사진 + 장면 연속성,68.97,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text;triple_identical_run,100.0,82.0,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-400,사진 대조 1차 교정본,252,"01:03:52,200 --> 01:05:53,700",121.5,아아아…,싫다고 해야 해.,아니야? 허리를 움직이고 있잖아.,반응형,,0.0,,,25.0,90.0,50.0,78.0,75.0,0.99673,42.0,66.0,25.0,0.0,1.0,아아아…,잠깐만.,일본어 원문 + 타임스탬프 사진 + 장면 연속성,66.98,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,100.0,80.85,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SONE-785,사진 대조 1차 교정본,378,"01:47:32,230 --> 01:50:10,050",157.82,아아…,아아…,가면 알게 될 거야.,반응형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.994,42.0,66.0,25.0,0.0,1.0,아아…,"와, 진짜 많이 커졌어.",일본어 원문 + 타임스탬프 사진 + 장면 연속성,66.87,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.74489795918367,80.68,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-337,사진 대조 1차 교정본,155,"01:26:38,120 --> 01:27:07,170",29.05,안 돼.,뜨겁지?,그대로 두 팔을 위로 들어.,중립·혼합형,sub_0155_5198.1s.jpg,0.02,,,25.0,90.0,50.0,78.0,75.0,0.98623,42.0,66.0,25.0,0.0,1.0,안 돼.,"네, 놀랐어요.",타임스탬프 사진과 앞뒤 장면으로 대사 기능 복원,66.54,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,100.0,80.59,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,533,"02:19:06,460 --> 02:19:06,480",0.02,어떻게 하지...,아직 아파...,엄청 맛있어.,반응형,sub_0533_8346.5s.jpg,0.04,,,25.0,90.0,50.0,78.0,75.0,0.87525,42.0,66.0,70.0,0.0,1.0,어떻게 하지...,어떻게 하지…,,66.38,T2,후보 3개 생성 후 증거 기반 판정,high_cps,100.0,80.5,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,353,"01:18:26,450 --> 01:18:56,130",29.68,아...,잠깐만...,확실히 전보다 더 커졌어.,반응형,sub_0353_4706.4s.jpg,0.05,,,25.0,90.0,50.0,78.0,75.0,0.97818,42.0,66.0,25.0,0.0,1.0,아...,아…,,66.2,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.86130374479889,80.34,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,415,"01:42:40,370 --> 01:43:34,040",53.67,아...,계속 네 옆에 있을게.,너 말이야...,반응형,sub_0415_6160.4s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.97586,42.0,66.0,25.0,0.0,1.0,아...,아…,,66.11,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.72260748959778,80.23,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,622,"02:41:22,630 --> 02:41:52,760",30.13,아...,누워.,응.,반응형,sub_0622_9682.6s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.96024,42.0,66.0,25.0,0.0,1.0,아...,아…,,65.45,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.58391123439667,79.79,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,429,"01:45:18,600 --> 01:45:58,110",39.51,아...,아파! 기다려!,첫 번째 자극이야.,반응형,sub_0429_6318.6s.jpg,0.0,,,25.0,90.0,50.0,78.0,75.0,0.94557,42.0,66.0,25.0,0.0,1.0,아...,아…,,64.83,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.44521497919555,79.37,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-337,사진 대조 1차 교정본,81,"00:36:22,220 --> 00:36:22,240",0.02,서로 원하는 게 뭔지 생각해 봐요.,편하게 누워 계세요.,서두르지 말아요.,반말형,sub_0081_2182.2s.jpg,0.02,,,25.0,90.0,50.0,78.0,75.0,0.99613,0.0,66.0,70.0,0.0,0.3914,오늘은 서로 원하는 대로 해 보려고.,서로 하고 싶은 대로 해 보자.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,63.9,T2,후보 3개 생성 후 증거 기반 판정,high_cps,99.6951219512195,78.93,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-642,사진 대조 1차 교정본,768,"02:14:26,280 --> 02:14:26,300",0.02,힘 빼고 천천히 받아.,조금 더 참아.,그대로 안쪽까지 깊이 들어가게 해.,반응형,,0.02,,,25.0,90.0,50.0,78.0,79.0,0.97552,0.0,66.0,70.0,0.0,0.5697,힘을 빼고 천천히 받아들여 봐.,힘 빼고 천천히 받아 줘.,,63.27,T2,후보 3개 생성 후 증거 기반 판정,high_cps,100.0,78.7,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-575,사진 대조 1차 교정본,1673,"02:36:11,230 --> 02:36:11,570",0.34,오늘은 뒤에서 하는 모습을 보고 싶으니까.,좋은 아침.,그 자세로 해 보자.,중립·혼합형,sub_1673_9371.2s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.8858,0.0,66.0,100.0,0.0,0.2605,빨아 주고 싶으니까 해 볼게요.,"응, 계속해.",손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,62.26,T2,후보 3개 생성 후 증거 기반 판정,high_cps;short_duration_long_text,100.0,78.11,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-169,기준본,839,"01:53:46,540 --> 01:53:46,560",0.02,헤어밴드 한 의미가 없겠는데.,이거 헤어밴드 한 의미가 없겠는데.,잠깐만.,반응형,,,,,25.0,30.0,50.0,78.0,75.0,0.98547,0.0,58.0,70.0,0.0,0.1454,"상대가 기분 좋아지지 않으면 의미가 없다고 생각해서, 조금 대화도 하면서 자극하는 게 제 방식이에요.","상대가 좋아하지 않으면 의미가 없으니까, 대화하면서 천천히 자극하는 편이에요.",,62.17,T2,후보 3개 생성 후 증거 기반 판정,high_cps,100.0,78.06,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,328,"01:11:19,730 --> 01:11:19,850",0.12,숨을 들이마시세요.,"굉장해, 엄청나.",잠깐만...,존댓말형,sub_0328_4279.7s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.74849,42.0,66.0,70.0,18.0,1.0,숨을 들이마시세요.,숨 좀 쉬어.,,62.5,T2,후보 3개 생성 후 증거 기반 판정,formality_shift;high_cps,99.30651872399446,77.96,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-305,사진 대조 1차 교정본,1008,"01:31:15,740 --> 01:31:15,760",0.02,이끌어내기 쉬운가요.,"왜 저는 커뮤니케이션을 끊고,",응.,반응형,sub_1008_5475.7s.jpg,0.04,,,25.0,90.0,50.0,78.0,75.0,0.93042,0.0,66.0,70.0,0.0,0.1931,가요.,갈 것 같아요.,성인 장면 관용 표현 교정,61.14,T2,후보 3개 생성 후 증거 기반 판정,high_cps,100.0,77.46,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-908,사진 대조 재번역본,80,"00:09:45,180 --> 00:09:45,500",0.32,하지만 내가 사랑하는 건 너뿐이니까 괜찮잖아.,아내와 이혼한다고 하셨잖아요.,너만 사랑한다니까.,반말형,,,,,45.0,80.0,50.0,78.0,55.0,0.81426,42.0,38.0,100.0,0.0,1.0,하지만 내가 사랑하는 건 너뿐이니까 괜찮잖아.,너만 사랑한다니까.,,61.14,T2,후보 3개 생성 후 증거 기반 판정,high_cps;short_duration_long_text,100.0,77.46,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-400,사진 대조 1차 교정본,189,"00:39:33,210 --> 00:40:06,480",33.27,아파요.,아파.,계속하자.,반응형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.98634,11.44,66.0,25.0,0.0,0.7454,배가 다시 아파요. 너무 조이고 아파요.,너무 깊어서 아파요…,타임스탬프 사진과 장면 흐름으로 명백한 오인식 교정,61.05,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.68152866242038,77.28,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-338,사진 대조 1차 교정본,262,"00:26:10,530 --> 00:26:36,360",25.83,아…,기분 좋아요.,어…,반응형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.97415,13.09,66.0,25.0,0.0,0.7591,"싫어, 아… 아… 아…",싫어… 아… 아…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,60.83,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,100.0,77.28,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ADN-789,사진 대조 1차 교정본,239,"01:35:30,880 --> 01:38:04,240",153.36,아…,조금만 참아봐.,아…,반응형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.99189,8.94,66.0,25.0,0.0,0.7245,"싫어, 아… 아… 아…",싫어… 아… 아…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,60.83,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,100.0,77.28,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ADN-746,사진 대조 1차 교정본,197,"00:41:40,780 --> 00:42:56,070",75.29,아…,이러다 나 망가져 버리겠어…,"마음을 전해야 한다고 생각하면서도…
참 어려운 말을 하신단 말이지.",반응형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.9851,9.97,66.0,25.0,0.0,0.7331,"싫어, 아… 아… 아…",싫어… 아… 아…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,60.73,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,100.0,77.22,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,556,"01:18:36,760 --> 01:18:37,520",0.76,이제 가슴으로는 안 해 줄 거야.,그래도 해주고 있잖아.,혀 그렇게 현란하게 굴리지 마.,반말형,sub_0556_4716.8s.jpg,0.04,,,25.0,90.0,50.0,78.0,79.0,0.89466,29.41,66.0,25.0,0.0,0.8951,이제 가슴으로는 안 해줄 거야.,이제 가슴으로는 안 해 줄 거야.,,60.67,T2,후보 3개 생성 후 증거 기반 판정,borderline_cps,100.0,77.19,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ADN-789,사진 대조 1차 교정본,163,"00:52:15,300 --> 00:52:55,170",39.87,아… 아…,"오늘 밤뿐이니까요, 부탁드려요.",아… 아…,반응형,,0.0,,,25.0,90.0,50.0,78.0,75.0,0.98356,8.94,66.0,25.0,0.0,0.7245,"싫어, 아… 아… 아…",싫어… 아… 아…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,60.48,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.63369963369964,76.92,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ADN-789,사진 대조 1차 교정본,196,"01:06:41,180 --> 01:07:22,890",41.71,아… 아…,"안 돼, 엉망진창이야…
빨리 넣어 줘…","좋잖아, 어차피 하고 싶었던 거잖아.",반응형,,0.02,,,25.0,90.0,50.0,78.0,75.0,0.98084,8.94,66.0,25.0,0.0,0.7245,"싫어, 아… 아… 아…",싫어… 아… 아…,일본어 원문 대조 + 자연스러운 한국어 대사 교정,60.36,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.26739926739927,76.7,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-338,사진 대조 1차 교정본,575,"01:48:49,100 --> 01:48:49,140",0.04,그래도 서로 원한 거잖아요.,그렇게 하면 너무 자극적이에요.,그렇게 말하면 더 힘들어져요.,반응형,,0.0,,,25.0,90.0,50.0,78.0,75.0,0.89618,0.0,66.0,70.0,0.0,0.295,그래도 기분은 좋아요.,그래도 기분 좋았어요.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,59.7,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.83443708609272,76.56,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SONE-785,사진 대조 1차 교정본,364,"01:16:25,250 --> 01:16:25,570",0.32,조금 더 안쪽까지 닿으면…,벌써 안쪽이 지친 것 같은데…,어떻게 될까?,반응형,,0.05,,,25.0,90.0,50.0,78.0,79.0,0.89374,0.0,66.0,70.0,0.0,0.4956,안쪽까지 안 가?,더 안쪽까지 안 들어가?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,59.84,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.48979591836735,76.49,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-328,사진 대조 1차 교정본,918,"02:31:33,800 --> 02:31:34,260",0.46,숨 가라앉을 때까지 잠시 쉬어.,다시 할 수 있을 때…,잠시만 쉬자.,반응형,sub_0918_9093.8s.jpg,0.0,,,25.0,90.0,50.0,78.0,75.0,0.88973,0.0,66.0,70.0,0.0,0.395,쉬어.,아… 그대로…,타임스탬프 사진으로 장면 불일치 확인 후 재복원,59.43,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.89373007438896,76.42,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
